x,y,domain,emotion
-3.879842519760132,25.624128341674805,source,angry
-10.735828399658203,-21.834413528442383,source,angry
8.79399299621582,8.343018531799316,source,angry
-0.909538984298706,-4.020247459411621,source,angry
9.663933753967285,10.52755355834961,source,angry
-10.282803535461426,-7.107269287109375,source,angry
-14.925135612487793,-12.478425979614258,source,angry
-19.440399169921875,-4.9745612144470215,source,angry
-9.842504501342773,-8.692808151245117,source,angry
-22.788896560668945,-16.978641510009766,source,angry
-16.99884796142578,-5.626382827758789,source,angry
-34.07044982910156,-8.12324047088623,source,angry
-2.5701522827148438,-11.45165729522705,source,angry
0.9724233746528625,14.631657600402832,source,angry
-25.728500366210938,-20.14516258239746,source,neutral
-20.215986251831055,-30.264219284057617,source,happy
43.907936096191406,-30.519638061523438,source,happy
-25.171855926513672,-22.197961807250977,source,neutral
55.87113952636719,-20.99711036682129,source,neutral
4.096401691436768,13.207852363586426,source,neutral
58.44264602661133,-20.453306198120117,source,neutral
-17.511796951293945,29.683849334716797,source,neutral
-28.48744010925293,-22.418956756591797,source,neutral
-8.89820671081543,24.81038475036621,source,neutral
-12.544963836669922,31.470216751098633,source,neutral
7.6491241455078125,10.775117874145508,source,neutral
-21.560659408569336,-27.408090591430664,source,neutral
-15.267346382141113,-30.005754470825195,source,neutral
-23.49908447265625,-1.0569170713424683,source,neutral
-11.930843353271484,36.1230354309082,source,neutral
-14.401935577392578,33.97963333129883,source,neutral
-18.417448043823242,-25.911949157714844,source,neutral
-15.864891052246094,-29.881473541259766,source,neutral
41.27616500854492,-32.519775390625,source,neutral
-8.156083106994629,24.50082015991211,source,neutral
5.367499351501465,23.851619720458984,source,neutral
56.02075958251953,-22.290485382080078,source,neutral
2.895310878753662,13.57235050201416,source,neutral
-18.47463607788086,-27.56692886352539,source,neutral
-21.94296646118164,-12.980475425720215,source,neutral
-9.233936309814453,13.006143569946289,source,neutral
-14.289961814880371,-0.9988974928855896,source,neutral
-26.125774383544922,-15.226590156555176,source,neutral
-16.300556182861328,31.591997146606445,source,neutral
