x,y,domain,emotion
-14.26838493347168,6.592147350311279,source,neutral
-26.96096420288086,6.046136856079102,source,happy
-32.01435089111328,-0.48526352643966675,source,happy
-27.872854232788086,22.013904571533203,source,happy
-32.938350677490234,13.540803909301758,source,happy
-27.387195587158203,22.698259353637695,source,happy
-21.380210876464844,25.301403045654297,source,happy
-15.691462516784668,36.85953903198242,source,happy
-10.509961128234863,36.706764221191406,source,happy
9.102856636047363,31.522449493408203,source,neutral
48.36397933959961,-9.660470008850098,source,neutral
-28.223388671875,-21.064544677734375,source,angry
-27.830181121826172,10.668522834777832,source,angry
-27.089147567749023,-18.501272201538086,source,angry
-20.901817321777344,-2.051708459854126,source,angry
7.8115081787109375,8.857344627380371,source,angry
-27.020353317260742,7.965845584869385,source,angry
-8.61355209350586,-14.950935363769531,source,angry
-30.99847412109375,6.25483512878418,source,sad
-11.931760787963867,1.4024763107299805,source,angry
-25.231332778930664,33.064544677734375,source,neutral
7.140861988067627,28.333301544189453,source,happy
-22.29871940612793,39.54815673828125,source,sad
62.98191452026367,6.1517653465271,source,neutral
64.8456039428711,4.711658000946045,source,sad
68.07901763916016,7.851086616516113,source,neutral
-17.240015029907227,8.06126880645752,source,angry
-8.193217277526855,41.75908279418945,source,sad
61.404666900634766,5.020358562469482,source,sad
-20.203493118286133,38.75630569458008,source,sad
-15.797774314880371,39.41259002685547,source,neutral
-13.884363174438477,43.3776969909668,source,happy
-4.962646484375,11.094399452209473,source,happy
54.82484436035156,-6.163398742675781,source,happy
58.39330291748047,3.9694159030914307,source,happy
12.881538391113281,30.580509185791016,source,sad
65.07156372070312,2.3071792125701904,source,neutral
8.6588134765625,28.102148056030273,source,happy
3.2392168045043945,28.33613395690918,source,happy
-10.537442207336426,34.237571716308594,source,neutral
-19.2180118560791,30.396507263183594,source,neutral
-17.010616302490234,23.151819229125977,source,neutral
-12.150802612304688,46.4737434387207,source,happy
-32.071468353271484,0.4961397349834442,source,neutral
48.57842254638672,-4.195169925689697,source,neutral
-25.420597076416016,-2.9646105766296387,source,neutral
-13.633949279785156,42.42218780517578,source,neutral
2.073702573776245,29.85715675354004,source,happy
-6.9575934410095215,36.10520553588867,source,happy
-16.624126434326172,40.74257278442383,source,neutral
59.24738311767578,3.8810806274414062,source,angry
-10.449370384216309,37.733585357666016,source,sad
-17.28672218322754,36.510231018066406,source,sad
-13.342486381530762,40.62679672241211,source,neutral
-19.50609588623047,30.77699089050293,source,neutral
67.04383850097656,5.165389537811279,source,neutral
-10.355362892150879,30.646953582763672,source,happy
-6.763104438781738,33.8566780090332,source,sad
69.60338592529297,8.290410041809082,source,happy
-11.021468162536621,41.37895965576172,source,neutral
-16.055877685546875,47.81842803955078,source,neutral
68.49559020996094,8.502008438110352,source,happy
-7.903887748718262,41.28749084472656,source,happy
-22.822628021240234,38.886474609375,source,happy
-25.389808654785156,-6.997615337371826,source,happy
-7.074084758758545,9.681930541992188,source,happy
4.675276756286621,10.633234977722168,source,happy
-17.361352920532227,7.504883289337158,source,happy
-16.086427688598633,7.812398433685303,source,happy
-2.027352809906006,9.556058883666992,source,happy
-11.281370162963867,2.997732162475586,source,happy
7.131480693817139,31.126705169677734,source,happy
-8.366735458374023,17.06517791748047,source,happy
-20.142606735229492,27.046144485473633,source,happy
1.7901281118392944,26.405391693115234,source,happy
1.2726970911026,19.40204429626465,source,happy
-28.057218551635742,18.032567977905273,source,happy
-18.811817169189453,10.96931266784668,source,happy
1.9357577562332153,27.88992691040039,source,happy
-5.379452705383301,5.843748569488525,source,happy
-5.950951099395752,9.612318992614746,source,happy
-34.4901123046875,2.930070161819458,source,happy
25.17437171936035,27.026988983154297,source,happy
-12.369064331054688,-6.613541126251221,source,happy
-22.286006927490234,-3.7089831829071045,source,happy
17.287473678588867,22.592819213867188,source,happy
-16.16949462890625,-4.792484283447266,source,happy
-20.680620193481445,10.370536804199219,source,happy
-32.85234832763672,5.286591529846191,source,happy
-13.748912811279297,31.751142501831055,source,happy
-9.5590181350708,31.716825485229492,source,happy
-6.1318511962890625,40.180999755859375,source,happy
-25.29246711730957,25.98081398010254,source,happy
-25.436573028564453,-5.120589733123779,source,happy
-14.511462211608887,4.2785325050354,source,happy
9.05214786529541,28.842544555664062,source,happy
-28.54469871520996,-0.3391698896884918,source,happy
8.330842018127441,28.662355422973633,source,happy
-34.17506408691406,-9.925617218017578,source,happy
-6.782806396484375,22.360454559326172,source,happy
-11.411107063293457,10.736553192138672,source,happy
-17.198713302612305,4.30147123336792,source,happy
-15.03943157196045,29.073017120361328,source,happy
-4.646872043609619,37.20339584350586,source,happy
-13.846190452575684,20.012781143188477,source,happy
-10.719840049743652,28.39087677001953,source,happy
-16.737361907958984,23.616344451904297,source,happy
-31.65134048461914,-0.5677449107170105,source,happy
2.0829763412475586,26.5542049407959,source,happy
-28.871112823486328,-10.502518653869629,source,happy
-28.430042266845703,-0.27354058623313904,source,happy
-13.01314640045166,-9.030460357666016,source,happy
18.07918357849121,25.98902130126953,source,happy
-10.287467956542969,28.26769256591797,source,happy
5.936856269836426,34.071014404296875,source,happy
-19.667991638183594,-8.044549942016602,source,happy
-5.652721405029297,6.836493968963623,source,happy
-11.81356143951416,28.35624885559082,source,happy
-25.473535537719727,-5.738505840301514,source,happy
-7.916452884674072,1.875282883644104,source,happy
-18.083520889282227,24.20357894897461,source,happy
-23.741640090942383,19.820764541625977,source,happy
-12.398937225341797,8.915034294128418,source,happy
-11.718110084533691,0.8855037093162537,source,happy
-22.461301803588867,-4.455140113830566,source,happy
-23.925073623657227,-7.269672870635986,source,neutral
-8.218676567077637,30.7497501373291,source,neutral
54.45386505126953,-5.626961708068848,source,angry
-25.95897674560547,16.109210968017578,source,angry
-26.76341438293457,19.762035369873047,source,angry
-20.260284423828125,9.738380432128906,source,angry
5.421313762664795,32.171295166015625,source,angry
12.290258407592773,28.408977508544922,source,angry
-31.248374938964844,-19.6292667388916,source,angry
-2.177312135696411,10.94511604309082,source,angry
44.87639236450195,-9.662848472595215,source,angry
-17.586957931518555,-3.4231908321380615,source,angry
19.90635871887207,-6.982645511627197,source,angry
-16.664079666137695,-4.246232986450195,source,angry
11.335427284240723,25.27311897277832,source,angry
10.352740287780762,-8.939196586608887,source,angry
14.485127449035645,-1.5438803434371948,source,angry
24.267276763916016,29.556882858276367,source,neutral
-13.01746654510498,14.858291625976562,source,neutral
-27.788997650146484,10.893677711486816,source,neutral
-17.77638053894043,29.16773796081543,source,angry
-6.947899341583252,17.266334533691406,source,angry
-35.895965576171875,-12.22278118133545,source,angry
-32.5390625,-18.359210968017578,source,angry
-26.7766056060791,19.293701171875,source,angry
11.416643142700195,30.09153175354004,source,angry
-18.264265060424805,25.22539520263672,source,neutral
-8.207842826843262,23.077381134033203,source,neutral
11.302464485168457,1.6152069568634033,source,neutral
-6.024562835693359,39.68340301513672,source,angry
4.439296722412109,32.27372360229492,source,neutral
-14.19675064086914,7.211341381072998,source,neutral
-16.511140823364258,12.66047191619873,source,angry
-12.41161060333252,29.997682571411133,source,neutral
1.3166639804840088,26.68006134033203,source,neutral
5.6591291427612305,34.62467956542969,source,neutral
-14.846136093139648,5.24954080581665,source,angry
-1.3359968662261963,12.539634704589844,source,angry
-31.885570526123047,-30.434795379638672,source,angry
-12.266595840454102,5.874438762664795,source,angry
-12.279303550720215,4.0410332679748535,source,angry
-32.54330062866211,-36.184539794921875,source,angry
-18.613182067871094,0.7574868202209473,source,sad
-31.763242721557617,14.821368217468262,source,angry
3.3774373531341553,19.86410903930664,source,angry
-16.5562744140625,39.91504669189453,source,neutral
-9.959287643432617,37.50425720214844,source,angry
-28.857290267944336,16.813081741333008,source,angry
-4.556981563568115,14.697582244873047,source,angry
16.150104522705078,15.49553394317627,source,angry
3.872896909713745,2.552168607711792,source,angry
-33.12144470214844,-18.436925888061523,source,angry
-1.0009669065475464,37.23310852050781,source,angry
48.711387634277344,-9.446860313415527,source,angry
21.06671905517578,11.785927772521973,source,neutral
0.623310923576355,18.500394821166992,source,happy
-4.413538932800293,-4.7179741859436035,source,angry
4.425598621368408,1.1516389846801758,source,angry
6.153357982635498,4.944350242614746,source,angry
-31.607830047607422,-17.825651168823242,source,angry
52.17972183227539,-6.178571701049805,source,neutral
-18.748525619506836,34.05324935913086,source,neutral
-4.541731357574463,20.568632125854492,source,neutral
53.281795501708984,-6.222860813140869,source,neutral
23.752046585083008,10.278264045715332,source,angry
19.213218688964844,23.887042999267578,source,angry
45.448062896728516,-10.594319343566895,source,sad
-13.493575096130371,32.860347747802734,source,sad
-20.0683536529541,33.73366165161133,source,sad
-3.593273401260376,39.19071960449219,source,sad
-8.834884643554688,34.05746841430664,source,sad
-8.972881317138672,15.540169715881348,source,sad
-25.903247833251953,31.7143611907959,source,sad
-34.26727294921875,6.795622825622559,source,sad
-9.299668312072754,35.5028190612793,source,sad
-29.183551788330078,14.201850891113281,source,sad
-25.954967498779297,31.788063049316406,source,sad
